method,n_clusters_orig,sil_full,noise_full,sil_boot_median,sil_boot_mean,noise_boot_median,noise_boot_mean,passes_thresholds,overall_core_jaccard
Mean,4,0.6037188172340393,0.0334941974031943,0.6024781763553619,0.6003006708621978,0.033580374583476964,0.033010456164540965,True,0.6296515295917812
KNN,4,0.5764711499214172,0.07325060324026197,0.5724123418331146,0.5728746652603149,0.07307824887969666,0.07831782144088245,True,0.5999579701225628
MICE,3,0.5981076955795288,0.07755946225439504,0.5805632174015045,0.5793736708164215,0.07822015396989543,0.07416063426404688,True,0.573378627621723
MissForest,3,0.6057812571525574,0.14426059979317477,0.5950470566749573,0.5659150201082229,0.03935424566241526,0.07542226818338503,True,0.5703092553838519
PMM,4,0.49808406829833984,0.040847983453981385,0.5009528696537018,0.49453246414661406,0.03998621165115478,0.02740089624267494,True,0.6154512021702339
EM,4,0.5867132544517517,0.07376766632195794,0.570925772190094,0.5738009130954742,0.07149833390784786,0.07626565552108469,True,0.5093546947301765
SoftImpute,4,0.5705850124359131,0.16873491899345053,0.569549947977066,0.5696311736106873,0.16614960358497072,0.16509364586924047,True,0.6102958482092122
NMF,3,0.5459606647491455,0.12386533379294497,0.5429282486438751,0.5508998483419418,0.036366770079283,0.07512926577042399,True,0.5835491712559416
DAE,5,0.5095210671424866,0.04268642996667816,0.5092282891273499,0.5148377323150635,0.03817649086521889,0.034709870159715044,True,0.5658172955205535
VAE,4,0.6032509803771973,0.16620705503849248,0.600500613451004,0.6002527785301208,0.16023210387222797,0.1585016660921521,True,0.6004769881990766
