method,k,bootstrap_silhouette_median,bootstrap_noise_median,overall_core_jaccard,minimum_cluster_jaccard,maximum_cluster_jaccard
Mean,4,0.6024781763553619,0.033580374583476964,0.6296515295917812,0.6274466068888128,0.6331148435229745
KNN,4,0.5724123418331146,0.07307824887969666,0.5999579701225628,0.5427112503215215,0.6315610438024231
MICE,3,0.5805632174015045,0.07822015396989543,0.573378627621723,0.46734877908120914,0.6299272932174533
MissForest,3,0.5950470566749573,0.03935424566241526,0.5703092553838519,0.5364159200453983,0.6314230711830873
PMM,4,0.5009528696537018,0.03998621165115478,0.6154512021702339,0.5799912306485391,0.6306015503860787
EM,4,0.570925772190094,0.07149833390784786,0.5093546947301765,0.3832510945073973,0.6295122784895442
SoftImpute,4,0.569549947977066,0.16614960358497072,0.6102958482092122,0.585795236963214,0.6313153173395429
NMF,3,0.5429282486438751,0.036366770079283,0.5835491712559416,0.5573180072814474,0.6312951205029009
DAE,5,0.5092282891273499,0.03817649086521889,0.5658172955205535,0.4896674690534874,0.6302087070737776
VAE,4,0.600500613451004,0.16023210387222797,0.6004769881990766,0.5736252753919873,0.6306932277876071
