Method,Missing Remaining,Mean (all vars),Std (all vars),Min,Max
Mean,0,18.247177203225295,7.139555705369071,0.0,999.0
KNN,0,18.767763485359115,8.314111372008002,0.0,999.0
MICE,0,18.939612427741174,8.663263645422193,-52.65459839370395,999.0
MissForest,0,19.49970178963232,9.65007340067972,0.0,999.0
PMM,0,18.908114607442428,9.599888724313463,0.0,999.0
EM,0,19.069006761802882,9.116706847063378,-56.63973039189415,999.0
SoftImpute,0,18.240365765168114,7.480031459690262,-36.57091073540252,999.0
NMF,0,17.594067965469254,7.555142373987171,0.0,999.0
