,Mean,KNN,MICE,MissForest,PMM,EM,SoftImpute,NMF,DAE,VAE
Mean,1.0,0.6133290384066199,0.7907750317340615,0.7573971372810855,0.7058816513004167,0.7894422028044,0.6982746471899908,0.7332187808749598,0.7777542268068598,0.7990616194616845
KNN,0.6133290384066199,1.0,0.5168047963077436,0.5599111224990445,0.49722443264260674,0.5150277354995096,0.4970656793020212,0.5096480227230443,0.510280153537007,0.5188322322624006
MICE,0.7907750317340615,0.5168047963077435,1.0,0.7133565516902116,0.7329629826711919,0.7971629750926579,0.6668664685389522,0.7194799626524641,0.7704899306914843,0.753852174632203
MissForest,0.7573971372810854,0.5599111224990445,0.7133565516902117,1.0,0.7091497802516581,0.7294705245695406,0.6385882947448591,0.6922119974667389,0.7195445916862933,0.7135787264693628
PMM,0.7058816513004168,0.49722443264260674,0.7329629826711919,0.709149780251658,1.0,0.7482733937683804,0.6507003236813778,0.7241850765404875,0.7487974616929761,0.7279824613368332
EM,0.7894422028043999,0.5150277354995096,0.7971629750926577,0.7294705245695406,0.7482733937683804,1.0,0.6597850087780978,0.7233903251615185,0.8438511774212388,0.7947767592791435
SoftImpute,0.6982746471899908,0.4970656793020212,0.6668664685389523,0.6385882947448591,0.6507003236813778,0.6597850087780979,1.0,0.6692252878613757,0.6706768484368835,0.668883368248303
NMF,0.7332187808749598,0.5096480227230443,0.7194799626524641,0.6922119974667388,0.7241850765404875,0.7233903251615185,0.6692252878613757,1.0,0.7108501680773687,0.70017708910079
DAE,0.7777542268068598,0.510280153537007,0.7704899306914842,0.7195445916862933,0.7487974616929762,0.8438511774212386,0.6706768484368835,0.7108501680773686,1.0,0.8396667009543767
VAE,0.7990616194616844,0.5188322322624007,0.7538521746322031,0.7135787264693629,0.7279824613368332,0.7947767592791435,0.668883368248303,0.7001770891007899,0.8396667009543767,1.0
